Venue Name,Location,Rating,Reviews,Overview,Ambience,Services Offered,Facilities,Space Capacity,Operating Time,USPs,Cash,UPI,Credit Card,Net Banking,Cheque,Paytm,Google Pay,PhonePe,Out_decor_Allowed,Both_decor,Only_panel_decor,Out_Catering_allowed,Inhouse_Catering_Only,Both_Catering_allowed
Hamleys Play Phoenix Market City Mall,"Velachery, Chennai",4.6,1,"Hamleys Play Phoenix Market City Mall is an indoor play area located in Express Avenue Mall, Chennai. It's part of the renowned Hamleys brand, known for its high-quality toys and entertaining experiences for children.",Bright and colorful with playful designs,Hamleys Play Phoenix Market City Mall offers a range of services and activities designed to entertain and engage children.,"Various play areas designed to stimulate children's creativity, physical activity, and imagination.",50,11:00 - 09:00 PM,"Exciting games, cool prizes, family-friendly, latest Arcade Games",1,1,1,1,0,1,1,1,0,0,1,0,1,0
La Fete By Midnight Sun,"Nungambakkam, Chennai",4.6,1,"La Fete By Midnight Sun is a restaurant located in the City of Chennai, that is available for you to host your pre-nuptial parties and so on. It has an excellently designed modern interior that will set your mood right to party hard with your friends and family.",Elegantly designed modern interior,La Fete By Midnight Sun offers a wide range of multi-cuisines that will surely give you the best culinary experience of your lifetime.,Restaurants,150,11:00 - 11:00 PM,"Best food quality, Friendly staff, Affordable prices, Multicuisine",1,1,1,1,0,1,1,1,1,0,0,0,1,0
Saaral Residency,"Mogappair East, Chennai",4.8,1,"Saaral Residency is a popular wedding venue located in Chennai, Tamil Nadu, India. Saaral Residency is situated in a convenient location within Chennai, making it easily accessible for guests.","Warm, inviting, and traditional",Saaral Residency offers accommodation options for wedding guests who may need a place to stay during the festivities.,"Various play areas designed to stimulate children's creativity, physical activity, and imagination.",250,08:00 - 11:00 PM,"Great Place for Family Function, Great Place for Corporate Events, Best food quality",1,1,1,1,0,0,1,1,0,0,1,1,0,0
Sekaran Hotels And Banquet Halls,"Old Mahabalipuram Road, Chennai",4.5,1,Sekaran Hotels And Banquet Halls in Chennai is a renowned hotel that offers excellent facilities for weddings and other events.,"Elegant, sophisticated, and welcoming",Sekaran Hotels And Banquet Halls offers luxurious accommodation options for you and your guests.,Spacious and elegant banquet halls and event spaces,250,11:00 - 11:00 PM,"Great Place for Family Function, Great Place for Corporate Events, Best food quality",1,0,1,1,1,0,0,0,1,0,0,0,0,1
Ushodhaya Csp Gardens,"Madhavaram, Chennai",4.6,1,"Nestled in Madhavaram, Ushodhaya Csp Gardens stands as a beacon of luxury and sophistication, offering a premier wedding venue experience. Boasting an elegant architectural design, this venue exudes class and refinement, setting the stage for unforgettable celebrations.","Enchanting ambiance characterized by elegance and charm. Soft glow of ambient lighting, lush greenery, and ornate decor create a romantic aura.","Comprehensive range of services including venue rental, decor and design services. Meticulously planned and flawlessly executed events.","Valet parking, power backup, spa, room service, restaurant, gym, swimming pool, currency exchange, and more.",800,11:00 - 11:00 PM,"Friendly staff, Affordable prices, Great ambience, Prime convenient location",1,1,1,1,1,0,0,0,1,0,0,1,0,0
Klase Hotels,"Guindy, Chennai",5.0,3,"Klase Hotels is a well-known hotel located in Chennai, Tamil Nadu, India. Situated in the heart of Chennai, it offers comfortable rooms, multiple dining options, and banquet halls suitable for weddings and events.","Blend of elegance, warmth, and modernity. Renowned for warm hospitality, personalized service, and serene ambiance.","Wide range of services including 24-hour room service, concierge desk, daily housekeeping, and multiple dining options.","Full bar, valet parking, catering, power backup, WiFi, spa, gym, swimming pool, currency exchange, and more.",150,09:00 - 11:30 PM,"Great Place for Family Function, Great Place for Corporate Events, Best food quality",1,0,1,1,0,0,0,0,1,0,0,0,1,0
24 Convention,"Aminjikarai, Chennai",4.5,1,"The 24 Convention is a popular venue for weddings and other events in Chennai. Located in the heart of the city, this hall offers a versatile space suitable for intimate gatherings and small-scale functions.","Warm and inviting atmosphere, flexible seating arrangements, quality sound system, comfortable temperature control.","The venue typically accommodates smaller gatherings, such as weddings with a moderate number of guests.","Basic amenities required for events, including seating arrangements, lighting, sound systems, and restroom facilities.",500,11:00 - 11:00 PM,"Great Place for Family Function, Great Place for Corporate Events, Great ambience with royal feel",0,1,0,1,0,1,0,0,0,0,1,0,1,0
Saaral Residency,"Mogappair East, Chennai",4.8,1,"Saaral Residency is a popular wedding venue located in Chennai, Tamil Nadu, India. Saaral Residency is situated in a convenient location within Chennai, making it easily accessible for guests.","Warm, inviting, and traditional ambiance.",Saaral Residency typically offers accommodation options for wedding guests who may need a place to stay during the festivities.,"Experienced event planning team, rental of banquet halls and outdoor spaces, in-house catering services.",250,08:00 - 11:00 PM,"Great Place for Family Function, Great Place for Corporate Events, Best food quality",1,1,1,1,0,0,1,1,0,0,1,1,0,0
Saaral Residency,"Mogappair East, Chennai",4.8,1,"Saaral Residency is a popular wedding venue located in Chennai, Tamil Nadu, India. Saaral Residency is situated in a convenient location within Chennai, making it easily accessible for guests. The venue offers traditional banquet halls spaces suitable for weddings and other events. These spaces are customizable to accommodate various seating arrangements and décor preferences. Saaral Residency provides professional event planning services to help couples organize their wedding day smoothly. This may include assistance with decorations, catering, entertainment, and other essential elements of the event. The ambiance of Saaral Residency is typically warm and inviting, creating a welcoming atmosphere for guests to enjoy the celebration. Couples can personalize their wedding at Saaral Residency according to their preferences, whether they prefer a traditional or modern theme, elaborate or minimalist décor, etc. It's advisable to check online reviews or seek recommendations from people who have previously hosted or attended events at Saaral Residency to get an idea of the venue's quality and service.","Warm and inviting atmosphere, customizable spaces, professional event planning services.","Accommodation options available for guests, professional event planning services.","Banquet halls and outdoor spaces available for rent, in-house catering services.",80,08:00 - 11:00 PM,"Great Place for Family Function, Great Place for Corporate Events, Best food quality",1,1,1,1,0,0,1,1,0,0,1,1,0,0
La Fete By Midnight Sun,"Nungambakkam, Chennai",4.6,1,"La Fete By Midnight Sun is a restaurant located in the City of Chennai, that is available for you to host your pre-nuptial parties and so on. It has an excellently designed modern interior that will set your mood right to party hard with your friends and family. La Fete By Midnight Sun offers multiple event spaces that are spacious enough to accommodate a crowd of up to 40-100 people at once. They offer a combination of indoor and uncovered outdoor areas, which you can choose per your needs and presence. They have a team of well-trained service staff who can help you all the time to deliver maximum customer satisfaction. The team of professionals ensures you get the most memorable experience.","Modern interior design, spacious event spaces, well-trained service staff.","Multiple event spaces, indoor and outdoor areas available, professional service staff.","In-house chefs preparing multi-cuisine dishes, memorable customer experience.",100,11:00 - 11:00 PM,"Best food quality, friendly staff, affordable prices.",1,1,1,1,0,1,1,1,0,1,0,0,1,0
